Navio: Aframax
Cenário: Severo
Manobra: Entrada
Corrente: N 1nó 
Vento: SE 25 nós 
Onda: 2.25m 12s SE 

x y zz vx vy vzz rudder_demanded propeller_demanded distance_port distance_starboard distance_target
10044.91 5076.9 -158.0 3.08 -0.0 -0.0 0.1 0 74.018 58.457 4402.844
10044.63 5076.79 -158.0 3.08 -0.0 -0.0 0.1 0 73.977 58.498 4402.546
10044.34 5076.67 -158.0 3.08 -0.0 -0.0 0.1 0 73.929 58.547 4402.234
10044.06 5076.56 -158.0 3.08 -0.0 -0.0 0.1 0 73.888 58.588 4401.936
10043.77 5076.44 -158.0 3.08 -0.0 -0.0 0.1 0 73.839 58.636 4401.624
10043.48 5076.33 -158.0 3.08 -0.01 -0.01 0.1 0 73.801 58.674 4401.316
10043.2 5076.21 -158.0 3.08 -0.01 -0.01 0.1 0 73.75 58.725 4401.015
10042.91 5076.1 -158.0 3.08 -0.01 -0.01 0.1 0 73.711 58.764 4400.706
10042.62 5075.98 -158.0 3.08 -0.01 -0.01 0.1 0 73.663 58.812 4400.395
10042.34 5075.87 -158.0 3.08 -0.01 -0.01 0.1 0 73.622 58.853 4400.096
10042.05 5075.75 -158.01 3.08 -0.01 -0.01 0.1 0 73.594 58.922 4399.785
10041.77 5075.64 -158.01 3.08 -0.01 -0.01 0.1 0 73.553 58.963 4399.486
10041.48 5075.53 -158.01 3.08 -0.01 -0.01 0.1 0 73.515 59.001 4399.178
10041.19 5075.41 -158.01 3.08 -0.01 -0.01 0.1 0 73.466 59.05 4398.866
10040.91 5075.3 -158.01 3.08 -0.01 -0.01 0.1 0 73.425 59.09 4398.568
10040.62 5075.18 -158.01 3.08 -0.02 -0.01 0.1 0 73.377 59.139 4398.256
10040.33 5075.07 -158.01 3.08 -0.02 -0.01 0.1 0 73.338 59.177 4397.948
10040.05 5074.96 -158.01 3.08 -0.02 -0.02 0.1 0 73.297 59.218 4397.649
10039.76 5074.84 -158.02 3.08 -0.02 -0.02 0.1 0 73.27 59.287 4397.338
10039.47 5074.73 -158.02 3.08 -0.02 -0.02 0.1 0 73.231 59.326 4397.029
10039.19 5074.61 -158.02 3.08 -0.02 -0.02 0.1 0 73.18 59.376 4396.728
10038.9 5074.5 -158.02 3.08 -0.02 -0.02 0.1 0 73.142 59.415 4396.419
10038.61 5074.39 -158.02 3.08 -0.02 -0.02 0.1 0 73.103 59.454 4396.111
10038.33 5074.27 -158.02 3.08 -0.02 -0.02 0.1 0 73.052 59.504 4395.81
10038.04 5074.16 -158.03 3.08 -0.02 -0.02 0.1 0 73.034 59.563 4395.501
10037.75 5074.05 -158.03 3.08 -0.02 -0.02 0.1 0 72.996 59.602 4395.192
