Navio: Aframax
Cenário: Severo
Manobra: Entrada
Corrente: N 1nó 
Vento: SE 25 nós 
Onda: 2.25m 12s SE 

time_stamp x y zz vx vy vzz rudder_demanded_orientation_0 propeller_demanded_0 distance_port distance_starboard distance_target original_propeller discrete_propeller
0.1 10044.91 5076.9 -158.0 3.08 -0.0 -0.0 -0.0 0 74.018 58.457 4402.844 0.28 0.0
0.2 10044.63 5076.79 -158.0 3.08 -0.0 -0.0 -0.0 0 73.977 58.498 4402.546 0.47 0.0
0.3 10044.34 5076.67 -158.0 3.08 -0.0 -0.0 -0.0 0 73.929 58.547 4402.234 0.28 0.0
0.4 10044.06 5076.56 -158.0 3.08 -0.0 -0.0 -0.0 0 73.888 58.588 4401.936 0.28 0.0
0.5 10043.77 5076.44 -158.0 3.08 -0.0 -0.0 -0.0 0 73.839 58.636 4401.624 0.28 0.0
0.6 10043.48 5076.33 -158.0 3.08 -0.01 -0.01 -0.0 0 73.801 58.674 4401.316 0.28 0.0
0.7 10043.2 5076.21 -158.0 3.08 -0.01 -0.01 -0.0 0 73.75 58.725 4401.015 0.28 0.0
0.8 10042.91 5076.1 -158.0 3.08 -0.01 -0.01 -0.0 0 73.711 58.764 4400.706 0.47 0.0
0.9 10042.62 5075.98 -158.0 3.08 -0.01 -0.01 -0.0 0 73.663 58.812 4400.395 0.47 0.0
1.0 10042.34 5075.87 -158.0 3.08 -0.01 -0.01 -0.0 0 73.622 58.853 4400.096 0.47 0.0
1.1 10042.05 5075.75 -158.01 3.08 -0.01 -0.01 -0.0 0 73.594 58.922 4399.785 0.47 0.0
1.2 10041.77 5075.64 -158.01 3.08 -0.01 -0.01 -0.0 0 73.553 58.963 4399.486 0.47 0.0
1.3 10041.48 5075.53 -158.01 3.08 -0.01 -0.01 -0.0 0 73.515 59.001 4399.178 0.28 0.0
1.4 10041.19 5075.41 -158.01 3.08 -0.01 -0.01 -0.0 0 73.466 59.05 4398.866 0.28 0.0
1.5 10040.91 5075.3 -158.01 3.08 -0.01 -0.01 -0.0 0 73.425 59.09 4398.568 0.28 0.0
1.6 10040.62 5075.18 -158.01 3.08 -0.02 -0.01 -0.0 0 73.377 59.139 4398.256 0.28 0.0
1.7 10040.33 5075.07 -158.01 3.08 -0.02 -0.01 -0.0 0 73.338 59.177 4397.948 0.28 0.0
1.8 10040.05 5074.96 -158.01 3.08 -0.02 -0.01 -0.0 0 73.297 59.218 4397.649 0.28 0.0
1.9 10039.76 5074.84 -158.01 3.08 -0.02 -0.02 -0.0 0 73.249 59.267 4397.338 0.28 0.0
2.0 10039.47 5074.73 -158.02 3.08 -0.02 -0.02 -0.0 0 73.231 59.326 4397.029 0.28 0.0
2.1 10039.19 5074.61 -158.02 3.08 -0.02 -0.02 -0.0 0 73.18 59.376 4396.728 0.28 0.0
2.2 10038.9 5074.5 -158.02 3.08 -0.02 -0.02 -0.0 0 73.142 59.415 4396.419 0.28 0.0
2.3 10038.61 5074.39 -158.02 3.08 -0.02 -0.02 -0.0 0 73.103 59.454 4396.111 0.47 0.0
2.4 10038.33 5074.27 -158.02 3.08 -0.02 -0.02 -0.0 0 73.052 59.504 4395.81 0.47 0.0
2.5 10038.04 5074.16 -158.03 3.08 -0.02 -0.02 -0.0 0 73.034 59.563 4395.501 0.47 0.0
2.6 10037.75 5074.05 -158.03 3.08 -0.02 -0.02 -0.0 0 72.996 59.602 4395.192 0.47 0.0
2.7 10037.47 5073.94 -158.03 3.08 -0.03 -0.02 -0.0 0 72.955 59.643 4394.894 0.47 0.0
2.8 10037.18 5073.82 -158.03 3.08 -0.03 -0.02 -0.0 0 72.906 59.691 4394.583 0.9 0.0
2.9 10036.89 5073.71 -158.03 3.08 -0.03 -0.02 -0.0 0 72.868 59.73 4394.274 0.9 0.0
3.0 10036.61 5073.6 -158.04 3.08 -0.03 -0.02 -0.0 0 72.847 59.791 4393.975 0.9 0.0
3.1 10036.32 5073.48 -158.04 3.08 -0.03 -0.02 -0.0 0 72.799 59.84 4393.664 0.9 0.0
